Data do mutirão;Horário de início;Ambiente ;Estado;Cidade;Nome do local (exemplo: praia de boa viagem);Bairro ou distrito;Ponto de Referência;Extensão aproximada da área de coleta ;Largura aproximada da área de coleta (em metros);Coordenadas geográficas do local de limpeza;Instituição Organizadora;Caráter da instituição;Site institucional;Número aproximado de participantes (total);Número aproximado de participantes crianças;Número aproximado de participantes jovens;Número aproximado de participantes adultos;Número aproximado de participantes idosos;Duração da coleta;Duração da triagem;Duração total (coleta + triagem);Peso total dos resíduos (kg);Quantidade total de itens coletados;Plástico (total);1. Fragmentos de plástico (maiores que 2,5 cm).;2. Brinquedos;3. Canudos;4. Copos/talheres/pratos;5. Embalagens de alimento;6. Escovas de dente;7. Esponjas/espumas;8. Galões;9. Garrafas PET;10. Hastes de cotonete/pirulito;11. Isqueiros;12. Pedaços de isopor (maiores que 2,5 cm);13. Pinos de plástico;14. Sacos e sacolas;15. Tampas/lacres/argolas de garrafa;16. Outros (descreva);Borracha (total);1. Balões e bexigas;2. Câmaras de ar;3. Chinelos/sandálias;4. Luvas;5. Pneus;6. Preservativos (camisinha);7. Outros (descreva);Madeira (total);1. Espetos/varas;2. Fósforos;3. Palitos de dente;4. Palitos de sorvete/picolé;5. Pedaços de madeira;6. Outros (descreva);Produtos têxteis (total);1. Aviamentos (linhas/barbantes);2. Calçados (sapatos, tênis);3. Roupas e pedaços de tecido;4. Outros (descreva);Papel (total);1. Caixas de leite/suco, etc;2. Embalagens de cigarro;3. Embalagens de papel;4. Jornais/panfletos/revistas/livros;5. Papelão;6. Pedaços de papel/guardanapos;7. Outros (Descreva)2;Metal (total);1. Anéis de lacre de latas de bebidas;2. Latas de bebidas;3. Latas (comida, desodorante, óleo, tinta, etc.);4. Pedaços de metal;5. Tampas de metal;6. Outros (descreva)2;Vidro (total);1. Copos/xícaras/pratos;2. Garrafas;3. Lâmpadas;4. Pedaços de cerâmica;5. Pedaços de vidro;6. Potes de vidro ou cerâmica;7. Outros (descreva)3;Materiais de Pesca (total);1. Anzóis;2. Boias;3. Linhas de pesca;4. Pedaços de corda;5. Redes/pedaços de rede;6. Outros (descreva)5;Outros Resíduos (total);1. Bitucas/guimbas/filtros de cigarro;2. Cera de vela/parafina;3. Eletroeletrônicos (TV, celular, computador, etc.);4. Entulhos/material de construção;5. Fraldas e absorventes;6. Seringas;7. Outros (descreva)6;Animais;Animais Vivos;Animais Mortos;Especificar animais;Qual foi a destinação dos resíduos coletados2;Eixo da Agenda Ambiental Urbana
20/10/2021;09:00:00;Rio;GO;Aruanã;Rio Araguaia/Rio Vermelho;Aruanã;Rio Araguaia/Rio Vermelho;6000;6000;;Ministério do Meio Ambiente;Poder público;https://www.gov.br/mma/pt-br;116;0;56;60;0;90 minutos;4 horas ou mais;05:30:00;447;7248;4315;100;5;200;250;80;;;250;500;;;250;;2500;180;6;85;;;26;50;5;4;6;206;;;;200;6;2;30;;;30;6;425;20;45;150;;60;150;;1528;;1500;25;3;;20;592;;480;4;;50;58;4;17;;;5;8;4;;26;;;3;15;8;;;0;;;;Outros (instituição parceira, empresa, etc.);Rios +Limpos
06/11/2021;10:00:00;Rio;RO;Guajará-Mirim;Rio Pacaás Novos;Porto Célio;Rio Pacaás Novos;70;4;-10.793280, -65.348659;Ministério do Meio Ambiente;Poder público;https://www.gov.br/mma/pt-br;177;0;0;177;0;Mais de 90 minutos;4 horas ou mais;06:00:00;2000;2110;1975;114;;;;;;;461;1400;;;;;;;;4;;;;;4;;;0;;;;;;;0;;;;;0;;;;;;;;9;;;9;;;7 bicicletas, 7 fogões, 3 carrinhos de mão, 1 geladeira;30;;30;;;;;;1;;;;;1;;3;;;3;;;;;0;;;;Cooperativa de catadores;Rios +Limpos
09/11/2021;10:00:00;Rio;RO;Guajará-Mirim;Rio Pacaás Novos;Guajará-Mirim;Rio Pacaás Novos;70000;24;;SEDAM-RO - Escritório Regional de Gestão Ambiental (ERGA);Poder público;a;17;0;0;17;0;90 minutos;4 horas ou mais;06:00:00;2397;2210;2050;250;;;;;;;;1400;400;;;;;;;4;;;;;4;;;0;;;;;;;0;;;;;0;;;;;;;;15;;;9;6;;7 fogões;30;;30;;;;;1 televisão;1;;;;;1;;3;;;3;;;;;0;;;;Cooperativa de catadores;Rios +Limpos
16/11/2021;09:00:00;Lago/Lagoa;RS;Porto Alegre;Gasômetro;Praia de Belas;Parque Moacir Scliar;3000;90;;Marinha do Brasil;Poder público;www.marinha.mil.br/cfpa/;12;0;0;12;0;Mais de 90 minutos;;03:00:00;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
16/11/2021;09:00:00;Lago/Lagoa;RS;Porto Alegre;Orla do Guaíba;Bairro Praia de Belas;Parque Moacir Scliar;3000;90;;Marinha do Brasil;Poder público;;12;0;0;12;0;Mais de 90 minutos;;03:00:00;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
04/12/2021;09:00:00;Rio;PA;Santarém;Alter do Chão;Alter do Chão;Alter do Chão;5500;4500;;Ministério do Meio Ambiente;Poder público;https://www.gov.br/mma/pt-br;84;0;0;84;0;Mais de 90 minutos;2 horas;03:00:00;287;387;114;;;;;;;;;110;;;4;;;;6 kg;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;5 kg;0;;;;;;7 kg;264;4;260;;;;;6 kg;0;;;;;;;0;;;;;;;;0;;;;Cooperativa de catadores;Rios +Limpos
04/12/2021;16:00:00;Lago/Lagoa;RS;Porto Alegre;Orla do Gasômetro lago Guaíba;Centro de Porto Alegre;Gasômetro;1100;50;;Lions Clube Internacional;Organização da sociedade civil;https://www.lionsclubs.org/pt;40;10;15;25;5;Mais de 90 minutos;1 hora;03:00:00;50;500;107;12;;;15;23;;1;;;;;10;;25;21;Vários plásticos (velho) fragmentados não indetificcdos;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
19/03/2022;08:00:00;Lago/Lagoa;TO;Palmas;Lago de Palmas;Plano Diretor Sul;Praia da Graciosa;22000;4;-10.189567796277814 -48.36443467383814;Ministério do Meio Ambiente;Poder público;https://www.gov.br/mma/pt-br;116;0;0;116;0;Mais de 90 minutos;3 horas;05:00:00;271;636;314;;;57;58;;;;3;93;;;47;;56;;"5 PVC ;2 base de sombrinhas de praia; 2 cadeiras; 1 mesa; 2 grades de carro; 1 paralama; 1 parachoque; 3 tampas térmicas;1 viseira de capacete;";6;;3;1;;2;;2 Vedações de parabrisa;11;;;;;11;"1 forro de teto
3 cestos";11;;;11;;21;11;;;;10;;;36;;32;4;;;"3 peças de carro; 2 espetos de churrasco; 1 rastel, 1 grade de churrasqueira; 1 chapa de churrasqueira.";195;;116;;;47;32;;0;;;;;;;3;;;3;;;;"3 calotas; 1 barra de proteção de alumínio; 1 placa de moto; 3 lonas de pneu";0;;;;Cooperativa de catadores;Rios +Limpos
01/05/2022;08:40:00;Cidade;SP;Mogi das Cruzes;Av. Francisco Rodrigues Filho, 3500;Cesar de Souza;Casa de Show Santa Fé;215000;215000;-23.505637865274306, -46.16880121587972;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org ;55;10;10;30;5;90 minutos;1 hora;02:00:00;22;;0;;;;;;;;;;;;;;;;16;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;2;0;;;;;;;0;;;;;;;4,2;0;;;;;;;0;;;;;;;30;0;;;;Cooperativa de catadores;Rios +Limpos
01/05/2022;08:00:00;Rural;SP;Jundiaí;Bairro Caxambu;Caxambú;Próximo a Jeruel.;400;400;;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org;30;3;6;20;1;90 minutos;1 hora;03:00:00;1;10;176;30;0;10;10;10;0;0;;6;0;0;30;0;50;30;"Prendedores de roupas : 04 ; 
Conduites : 06 pedaços ; 
Caixa de passagem elétrica : 03 ; 
Tubos de pvc : 08pçs ;
Bombona 01;";13;0;0;2;7;0;4;"Peças de automóveis = 02 ; 
Peças industriais : 04";24;4;0;0;0;20;"Cadeiras : 03;
Escovão de madeira; madeiras tipo duratex/eucatex 06 chapas ;";20;6;4;10;;104;20;4;20;10;30;20;;105;30;22;8;15;30;"arame/cerca : 01 pedaço ;";136;0;65;1;30;30;10;;6;0;2;1;3;0;;56;50;1;0;5;0;0;;3;0;3;cão, gato, animal silvestre(tipo raposa);Cooperativa de catadores;Rios +Limpos
21/05/2022;08:00:00;Rio;PI;Teresina;Encontro dos Rios Poti e Parnaíba;Poti Velho;Parque encontro dos rios;6000;4;-5.0340456316277225, -42.83893040795549;Ministério do Meio ambiente;Poder público;https://www.gov.br/mma/pt-br;135;0;0;135;0;Mais de 90 minutos;2 horas;04:00:00;495;1439;1065;;;;;;;;20;420;;;40;;585;;;16;;;10;;6;;;20;;;;;20;;25;;10;15;;35;;;;;35;;;15;;15;;;;;258;;105;;;153;;;4;;;;;4;;1;;;1;;;;;0;;;;Cooperativa de catadores;Rios +Limpos
05/06/2022;08:00:00;Parque;SP;Campinas;Bosque dos Jequitibás;Bosque;Bosque dos Jequitibás;2000;2000;-22.881481528626676, -47.052169070279355;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org;30;4;4;20;2;90 minutos;1 hora;03:00:00;31;5;435;100;3;20;30;100;10;2;;35;10;;35;10;30;50;garrafas de vidro;5;;;1;3;;1;;18;10;;2;1;5;;7;;2;5;;140;65;15;30;10;10;10;;38;20;10;3;4;1;;9;2;5;;;;2;;0;;;;;;;4;;;1;;3;;;0;;;;Outros (instituição parceira, empresa, etc.);Rios +Limpos
05/06/2022;08:00:00;Parque;GO;Goiania;Jardim das Aroeiras;Jardim das Aroeiras;Praça da Juventude;1000;1000;-16.65797090141854, -49.19747177726154;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org;36;4;4;28;1;45 minutos;1 hora;01:45:00;46;;235;8;;12;;75;;;2;15;19;;7;;72;25;;2;;;;2;;;;6;;;;;6;;3;;;3;;49;9;12;17;;11;;;11;;9;;2;;;36;;36;;;;;;0;;;;;;;0;;;;;;;;0;;;;Cooperativa de catadores;Rios +Limpos
05/06/2022;08:30:00;Cidade;DF;Ceilândia;Pólo Ambiental JK;Brasília;CEF 32 SOL NASCENTE;1000;1000;;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org ;39;5;25;9;0;Mais de 90 minutos;2 horas;03:00:00;120;300;353;0;25;60;50;20;15;3;0;90;0;4;30;0;26;30;0;7;0;0;3;0;4;0;0;15;0;0;0;0;15;0;0;;;;;23;7;0;16;0;0;0;0;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
05/06/2022;08:29:00;Cidade;SP;Sao Carlos;Região do Rio Monjolinho;Parque Faber Castel II;Shopping Iguatemi;500;35;;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org ;8;0;1;7;0;60 minutos;1 hora;02:00:00;29,38;300;45;0;0;0;0;0;0;0;0;30;0;0;0;15;0;0;;0;;;;;;;;0;;;;;;;6;0;0;6;;0;;;;;;;;0;;;;;;;53;1;52;0;0;0;0;;0;;;;;;;41;41;0;0;0;0;0;;0;;;;Cooperativa de catadores;Rios +Limpos
05/06/2022;08:00:00;Cidade;SP;São Paulo;Rua ao entorno do Museu do Ipiranga;Ipiranga;Museu do Ipiranga;3500;3500;;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org;100;5;0;95;0;60 minutos;1 hora;01:30:00;130;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
05/06/2022;08:30:00;Cidade;PR;Londrina;Rua Cap. Jaci da Silva Pinheiros;GLEBA FAZENDA PALHANO;Cilo 3;10000;10000;-23.280681790323, -51.216142999999995;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org;9;1;6;3;0;Mais de 90 minutos;1 hora;04:00:00;59;9;309;45;;40;1;15;;1;;96;;;16;9;30;56;;2;;;;2;;;;9;;;;;9;;4;1;;3;;46;3;14;18;2;4;5;15;12;3;8;;1;;5;9;1;1;;;6;1;5;0;;;;;;;47;43;;;2;;2;3;0;;;;Serviço de limpeza urbana;Rios +Limpos
19/06/2022;09:45:00;Parque;RS;Porto Alegre;Parque Chico Mendes;Mario Quintana;Usina do Gasômetro;4000;4000;-30.02449534877761, -51.1116749971074;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org;32;1;0;31;0;Mais de 90 minutos;1 hora;03:00:00;203;;0;;;;;;;;;;;;;;;;plástico 67 kg;0;;;;;;;rejeitos 108,50 kc;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;metal 3,50 kg;0;;;;;;;vidro 21 kg;0;;;;;;;2;2;;;;;;;0;;;;Cooperativa de catadores;Rios +Limpos
23/06/2022;14:00:00;Cidade;SP;Barueri;Bairro Parque Imperial - Barueri/SP;Parque Imperial;Próximo ao CRAS Parque Imperial;100;100;-23.489455, -46.812339;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org ;25;4;6;13;2;60 minutos;1 hora;02:00:00;32;1200;126;;;30;;;;;;4;;;;15;27;50;;0;;;;;;;;0;;;;;;;0;;;;;70;;;;50;20;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
23/06/2022;14:00:00;Rio;RS;Campo Bom;Margem do Rio dos Sinos;Mônaco;Próximo à Avenida dos Estados.;50;50;-29.691598, -51.045435;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org;37;0;20;17;0;30 minutos;1 hora;01:30:00;250;254;107;;;;;6;;;;8;;3;16;;60;14;;18;;1;8;9;;;;0;;;;;;;23;;10;13;;39;6;10;1;2;14;6;;20;6;6;1;5;2;;40;;31;2;;7;;;1;;;;1;;;4;;;;3;1;;;0;;;;Cooperativa de catadores;Rios +Limpos
23/07/2022;09:00:00;Cidade;SP;Várzea Paulista;Rua Solimões;JARDIM GIANFRANCESCO;Mercado Dia;2000;500;;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org ;9;0;0;9;0;75 minutos;1 hora;02:40:00;18,46;;85;6;10;6;0;10;3;0;0;5;0;10;10;25;0;0;0;0;;;;;;;;9;;;;4;5;;3;3;;;;36;10;12;6;;8;0;0;28;6;9;;;13;;0;;;;;;;;0;;;;;;;168;168;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
