Data do mutirão;Horário de início;Ambiente ;Estado;Cidade;Nome do local (exemplo: praia de boa viagem);Bairro ou distrito;Ponto de Referência;Extensão aproximada da área de coleta ;Largura aproximada da área de coleta (em metros);Coordenadas geográficas do local de limpeza;Instituição Organizadora;Caráter da instituição;Site institucional;Número aproximado de participantes (total);Número aproximado de participantes crianças;Número aproximado de participantes jovens;Número aproximado de participantes adultos;Número aproximado de participantes idosos;Duração da coleta;Duração da triagem;Duração total (coleta + triagem);Peso total dos resíduos (kg);Quantidade total de itens coletados;Plástico (total);1. Fragmentos de plástico (maiores que 2,5 cm).;2. Brinquedos;3. Canudos;4. Copos/talheres/pratos;5. Embalagens de alimento;6. Escovas de dente;7. Esponjas/espumas;8. Galões;9. Garrafas PET;10. Hastes de cotonete/pirulito;11. Isqueiros;12. Pedaços de isopor (maiores que 2,5 cm);13. Pinos de plástico;14. Sacos e sacolas;15. Tampas/lacres/argolas de garrafa;16. Outros (descreva);Borracha (total);1. Balões e bexigas;2. Câmaras de ar;3. Chinelos/sandálias;4. Luvas;5. Pneus;6. Preservativos (camisinha);7. Outros (descreva);Madeira (total);1. Espetos/varas;2. Fósforos;3. Palitos de dente;4. Palitos de sorvete/picolé;5. Pedaços de madeira;6. Outros (descreva);Produtos têxteis (total);1. Aviamentos (linhas/barbantes);2. Calçados (sapatos, tênis);3. Roupas e pedaços de tecido;4. Outros (descreva);Papel (total);1. Caixas de leite/suco, etc;2. Embalagens de cigarro;3. Embalagens de papel;4. Jornais/panfletos/revistas/livros;5. Papelão;6. Pedaços de papel/guardanapos;7. Outros (Descreva)2;Metal (total);1. Anéis de lacre de latas de bebidas;2. Latas de bebidas;3. Latas (comida, desodorante, óleo, tinta, etc.);4. Pedaços de metal;5. Tampas de metal;6. Outros (descreva)2;Vidro (total);1. Copos/xícaras/pratos;2. Garrafas;3. Lâmpadas;4. Pedaços de cerâmica;5. Pedaços de vidro;6. Potes de vidro ou cerâmica;7. Outros (descreva)3;Materiais de Pesca (total);1. Anzóis;2. Boias;3. Linhas de pesca;4. Pedaços de corda;5. Redes/pedaços de rede;6. Outros (descreva)5;Outros Resíduos (total);1. Bitucas/guimbas/filtros de cigarro;2. Cera de vela/parafina;3. Eletroeletrônicos (TV, celular, computador, etc.);4. Entulhos/material de construção;5. Fraldas e absorventes;6. Seringas;7. Outros (descreva)6;Animais;Animais Vivos;Animais Mortos;Especificar animais;Qual foi a destinação dos resíduos coletados2;Eixo da Agenda Ambiental Urbana
18/09/2021;08:00:00;Praia;PA;Santarém;Orla de Santarém;Centro e Aldeia;orla;500;10;;Marinha do Brasil;Poder público;https://www.marinha.mil.br/cfs/;20;0;0;20;0;Mais de 90 minutos;;02:00:00;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;07:00:00;Rio;AM;Boca do Acre;Orla do Centro de Boca do Acre;centro;Agência Fluvial de Boca do acre;500;25;;Marinha do Brasil;Poder público;;36;20;5;11;0;Mais de 90 minutos;2 horas;03:40:00;300;60;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:00:00;Rio;AM;Tabatinga;Orla do município de Tabatinga;Centro;Proximidades da feira de Tabatinga;250;90;;Marinha do Brasil;Poder público;cft.mar.mil.br;41;0;0;41;0;60 minutos;;02:00:00;527;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:00:00;Rio;AM;Tabatinga;Orla do Porto de Tabatinga-AM (Porto da Feira);Centro;Porto de Tabatinga (Porto da Feira);250;90;;Marinha do Brasil;Poder público;www.marinha.mil.br;41;0;0;41;0;60 minutos;1 hora;01:00:00;527;90;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:00:00;Cidade;BA;Juazeiro;Orla I de Juazeiro;Centro;Travessia Juazeiro x Petrolina;500;15;;Marinha do Brasil;Poder público;;40;0;24;5;1;Mais de 90 minutos;1 hora;02:30:00;1000;15;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:00:00;Rio;AM;Manaus;Parque do Mindu;Parque 10 de Novembro;rotatória do mindu;850;1600;;Marinha do Brasil;Poder público;http://btloprib.mb/;24;0;0;24;0;Mais de 90 minutos;2 horas;04:30:00;1920;1920;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Não sei;Rios +Limpos
18/09/2021;09:00:00;Parque;SP;Indaiatuba;Parque Ecológico;Morada do Sol;Piano;1000;100;;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org;30;6;5;15;4;45 minutos;1 hora;01:45:00;;;155;;;;;30;;50;;5;;;10;20;20;20;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;10;;10;;;;;0;;;;;;;;0;;;;;;;1;;;1;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:00:00;Cidade;RO;Porto Velho;Porto Cai N´Agua;BAIXA DA UNIÃO;PORTO CAI NAGUA;50;100;;Marinha do Brasil;Poder público;https://www.marinha.mil.br/om/capitania-fluvial-de-porto-velho;20;0;0;20;0;Mais de 90 minutos;1 hora;12:00:00;187;500;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:00:00;Rio;AC;Cruzeiro do Sul e Mâncio Lima;Porto de Cruzeiro do Sul-AC, Rio Croa e Rio Japiim em Mâncio Lima-AC;Centro;Porto da cidade;310;30;;Marinha do Brasil;Poder público;não há;28;3;4;21;0;Mais de 90 minutos;1 hora;04:00:00;132;430;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;15:00:00;Parque;MT;Cuiabá;Praça Ipiranga;Centro;Prainha;50;50;;Grupo Desbravadores;Organização da sociedade civil;;4;0;1;3;0;75 minutos;1 hora;17:00:00;40;;580;200;;;50;50;;;;200;;;;;50;30;;2;;;;2;;;;20;;;10;10;;;2;;2;;;70;;5;10;;5;50;;25;;20;5;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Outros (instituição parceira, empresa, etc.);Rios +Limpos
